date,gross_value,net_value,benchmark_value
2007-02-27,83553.22638129976,75134.22030243234,107604.516
2007-02-28,83790.50672558992,75347.59175956766,107298.94
2007-03-01,84774.86316597433,76232.7622891944,106038.41
2007-03-02,85416.14822185526,76809.43005837584,105236.266
2007-03-05,84548.0110987993,76028.7683331333,106305.85
2007-03-06,85216.40815730875,76629.81624018081,105465.445
2007-03-07,84321.32747535371,75748.29603180237,104357.69
2007-03-08,84413.88619942422,75755.69592426735,104243.13
2007-03-09,84877.8635529276,76096.32820537228,104816.1
2007-03-12,87104.98806559223,78016.93620943697,102065.81
2007-03-13,89321.74256464357,79924.38988960878,104663.31
2007-03-14,89712.97223887478,80194.53472275307,104204.89
2007-03-15,89548.50863323084,80047.5205061432,104395.93
2007-03-16,87910.2003759891,78583.03476742397,106305.86
2007-03-19,87878.63796873037,78554.82109328435,106344.03
2007-03-20,85732.17523222591,76636.09544906685,108941.516
2007-03-21,84980.60952352006,75887.63385481747,107986.5
2007-03-22,85732.04572919558,76482.77830653242,107031.63
2007-03-23,85120.12620805479,75936.87619164899,107795.57
2007-03-26,86628.28637697006,77282.32734551792,105885.65
2007-03-27,86378.29647750729,76982.02547050083,105580.09
2007-03-28,86722.0641612734,77288.39794676875,106000.28
2007-03-29,86347.09614010937,76876.93072227624,106458.6
2007-03-30,86749.84236832983,77235.50553567035,105962.05
2007-04-02,87156.36322345027,77520.20548614058,106458.6
2007-04-03,89126.54954083679,79272.56460854017,108865.12
2007-04-04,89282.86808475273,79411.6003048162,109056.055
2007-04-05,89345.42076726205,79467.23705493391,109132.45
2007-04-09,88813.78612852764,78994.38085816281,108483.086
2007-04-10,87906.93641363383,78187.79401075863,107375.4
2007-04-11,89251.62960662715,79383.81560667361,109017.9
2007-04-12,89470.53451659814,79578.5180125022,109285.27
2007-04-13,89095.2773638992,79165.17141937182,109743.63
2007-04-16,88723.11312232135,78834.4867091112,110202.04
2007-04-17,87954.29048635549,78072.5186426194,109247.086
2007-04-18,88231.05836989921,78318.1913167796,109590.87
2007-04-19,89245.89599190705,79219.01069381418,110851.38
2007-04-20,89983.98233534239,79794.95312537723,109934.62
2007-04-23,89952.69125666656,79767.20518522857,109972.84
2007-04-24,89327.80963543493,79213.07990225023,110736.81
2007-04-25,88988.85851471695,78912.50875516885,111157.0
2007-04-26,85869.68721655218,76146.52617618575,115053.19
2007-04-27,85356.56560465459,75615.359613039,114365.67
2007-04-30,84045.18742645168,74378.02538820375,116122.734
2007-05-01,84625.77146220335,74817.45065689366,116924.91
2007-05-02,83630.48032337957,73862.69859079341,118300.07
2007-05-03,84737.64197609376,74840.5471829514,116733.92
2007-05-04,85153.5841697656,75133.0680662371,117306.914
2007-05-07,85042.67969379219,74960.08129508364,117459.69
2007-05-08,85125.63980603474,74958.24563531834,117574.27
2007-05-09,84572.5227614841,74471.19281098738,116810.31
2007-05-10,83715.17643171092,73641.77661067795,117994.46
2007-05-11,83498.37032793666,73451.05866272023,118300.05
2007-05-14,83417.22666449747,73379.67897039843,118415.01
2007-05-15,83876.14792413815,73709.99881551512,119066.48
2007-05-16,83633.19684909734,73496.49445346832,118721.59
2007-05-17,83228.2590789709,73140.63687899587,118146.766
2007-05-18,83822.14270961678,73662.5392647737,118989.81
2007-05-21,82850.30220670579,72808.49000176715,117610.24
2007-05-22,82553.33865244435,72547.51970479239,117188.695
2007-05-23,83660.1125322246,73447.60032057887,115617.57
2007-05-24,84519.68323817168,74128.7943738105,116805.49
2007-05-25,83660.06046775091,73300.72522913982,117993.484
2007-05-29,82790.61330895324,72538.93869764608,119219.76
2007-05-30,83908.30635643589,73518.2316900965,117610.266
2007-05-31,83634.89799616951,73205.16030748606,117227.04
2007-06-01,83279.4766885696,72820.85685659728,117725.22
2007-06-04,83659.00592856038,73152.72306850464,117188.7
2007-06-05,84452.35684790791,73846.44132937823,116077.39
2007-06-06,86320.37493551693,75479.86511123036,113509.86
2007-06-07,85067.28223574239,74384.14155788034,115157.65
2007-06-08,85152.214027325,74458.40722432469,115042.69
2007-06-11,84670.03787692077,73962.32656604376,114391.26
2007-06-12,86201.72110190241,75300.30701015907,116460.59
2007-06-13,86570.49194250169,75622.4416167372,116958.81
2007-06-14,86655.57826233792,75621.14513896589,116843.85
2007-06-15,86598.76023354036,75571.56212898121,116920.46
