date,gross_value,net_value,benchmark_value
2007-08-30,75614.59363299896,65530.012213455804,204730.92
2007-08-31,72513.13691565729,62842.191161962255,213128.3
2007-09-04,68790.93115382116,59553.56705073891,202188.11
2007-09-05,69671.19167277099,60256.07111189757,199600.88
2007-09-06,71343.21476723798,61702.14286784133,194810.7
2007-09-07,68668.58030165164,59388.94912610591,202114.08
2007-09-10,69281.37001231982,59918.92858384341,200310.44
2007-09-11,68585.91809883264,59317.457603544884,202321.2
2007-09-12,68410.49016092716,59165.73638208087,202838.69
2007-09-13,67607.75029188395,58471.47596436612,205218.81
2007-09-14,67802.57291308338,58639.97093962555,204627.44
2007-09-17,66572.97249417775,57576.534410094326,208338.38
2007-09-18,66643.86095032233,57637.843248825295,208116.53
2007-09-19,66861.643341486,57826.195291237746,207436.44
2007-09-20,65031.798311158185,56243.62910248866,213113.47
2007-09-21,63168.53064915558,54632.15689932256,219219.52
2007-09-24,61081.111880057884,52826.82458375347,226463.7
2007-09-25,61244.612613436875,52968.230401291425,225857.5
2007-09-26,60551.06529686519,52368.40663735914,228415.16
2007-09-27,60954.75103051137,52717.53969636708,226892.36
2007-09-28,59814.84087802984,51731.67300512825,231135.47
2007-10-01,59007.52979731628,51033.45911326065,234255.08
2007-10-02,59204.9421523533,51204.19385480701,233471.38
2007-10-03,59834.76937087185,51748.90843132106,230987.69
2007-10-04,57839.53357669928,50023.301806658535,238690.14
2007-10-05,55525.18866301898,48021.70935003518,248240.9
2007-10-08,55541.76576160031,48036.04627763701,248166.78
2007-10-09,55895.77974912946,48342.22005613863,246585.02
2007-10-10,57423.94842710203,49663.877377049306,239843.48
2007-10-11,55647.06449776842,48127.11531179877,247265.03
2007-10-12,55736.893115526764,48204.80480511119,246865.88
2007-10-15,54869.01934832721,47454.21245586385,250709.8
2007-10-16,53843.346020058256,46567.14502495174,255396.34
2007-10-17,53609.5820056805,46364.97105985142,256505.17
2007-10-18,54561.26834938714,47188.049847881106,251951.64
2007-10-19,55822.680717616226,48231.8113215957,257776.58
2007-10-22,59600.54396084972,51495.95386731417,275221.9
2007-10-23,59674.18273516032,51508.083153633175,274881.84
2007-10-24,60685.17707130503,52380.72820627018,270224.8
2007-10-25,60047.70312869642,51830.489236263944,273063.4
2007-10-26,60174.48842301729,51888.09413739608,273639.97
2007-10-29,59553.506959801736,51300.73751722164,276463.84
2007-10-30,58614.02217175125,50491.444077194115,280825.2
2007-10-31,59388.573219171856,51158.659863566434,277114.25
2007-11-01,59252.32627710089,51041.29366685488,277750.0
2007-11-02,59785.353005735065,51500.454943684184,275251.38
2007-11-05,57983.87951509439,49948.62494398373,283545.38
2007-11-06,59643.676182020856,51378.41132414482,275428.84
2007-11-07,56176.49997790372,48340.32893091361,259417.75
2007-11-08,52942.98123505335,45557.86011040782,244485.67
2007-11-09,49226.05280879259,42359.41337896706,227321.25
2007-11-12,54412.454416817636,46822.35357279124,251271.53
2007-11-13,55645.039905265105,47836.18092097022,245579.58
2007-11-14,55038.73579554178,47267.12536209157,242903.75
2007-11-15,55738.85634833317,47868.387100011925,245993.61
2007-11-16,54921.478612161314,47166.42519326793,242386.27
2007-11-19,56562.913882193025,48576.08559990525,249630.45
2007-11-20,56693.56274975077,48639.710427207996,249053.86
2007-11-21,55656.991350561824,47750.3937173687,253607.48
2007-11-23,55332.55708559793,47472.048382640605,255085.83
2007-11-26,54604.57601471639,46847.483850676654,258441.83
2007-11-27,56294.48189289284,48250.475265230736,266440.1
2007-11-28,57565.816058826225,49340.146502349904,272457.28
2007-11-29,56919.21269626095,48785.93730630063,269396.94
2007-11-30,55869.67644391647,47886.370931747966,264429.5
2007-12-03,56166.392993904956,48140.68918949911,265833.84
2007-12-04,57943.77431440341,49664.09771122176,274246.16
2007-12-05,59333.81198300571,50855.51072172327,280825.16
2007-12-06,60692.5917663739,52020.13233513543,287256.22
2007-12-07,60664.4457229662,51996.00812392338,287123.0
2007-12-10,58893.36274175108,50477.99796192596,278740.53
2007-12-11,59618.03135655454,51099.11754413634,282170.38
2007-12-12,59315.021452935835,50788.30608236118,283604.5
2007-12-13,59760.282007826805,51169.559073496785,281475.56
2007-12-14,61640.466608590104,52779.46139934652,272619.75
2007-12-17,62115.1091636716,53185.872638467794,270520.53
2007-12-18,62067.59058063457,53145.184996774864,270727.47
2007-12-19,60681.31809196441,51958.193409424566,276774.16
2007-12-20,58509.58615560753,50098.65456731103,286679.66
2007-12-21,57034.107395194034,48835.28038204899,293909.06
2007-12-24,56991.062417361485,48798.42325115841,294130.9
2007-12-26,57099.92121112491,48891.63326106796,293569.1
2007-12-27,56737.61765754445,48581.41194910954,295431.8
2007-12-28,57234.49094916519,49006.85818854162,292844.6
2007-12-31,58170.68708373102,49808.473271378265,288054.47
2008-01-02,58143.794825962366,49785.446857742325,288187.62
